data_registro;primeira_dose
2021-05-18;125462
2021-05-17;74267
2021-05-16;81931
2021-05-15;121685
2021-05-14;201044
2021-05-13;151732
2021-05-12;182441
2021-05-11;117115
2021-05-10;107411
2021-05-09;11468
2021-05-08;127779
2021-05-07;251994
2021-05-06;265090
2021-05-05;157770
2021-05-04;126427
2021-05-03;80488
2021-05-02;8438
2021-05-01;28474
2021-04-30;108695
2021-04-29;157280
2021-04-28;104094
2021-04-27;95348
2021-04-26;114494
2021-04-25;12184
2021-04-24;64638
2021-04-23;185331
2021-04-22;140497
2021-04-21;209008
2021-04-20;120069
2021-04-19;70187
2021-04-18;14394
2021-04-17;35261
2021-04-16;65447
2021-04-15;87643
2021-04-14;119692
2021-04-13;130031
2021-04-12;140092
2021-04-11;11603
2021-04-10;63761
2021-04-09;42438
2021-04-08;56307
2021-04-07;88711
2021-04-06;116189
2021-04-05;111101
2021-04-04;5700
2021-04-03;42133
2021-04-02;49418
2021-04-01;91304
2021-03-31;84323
2021-03-30;113239
2021-03-29;160350
2021-03-28;16870
2021-03-27;103022
2021-03-26;214355
2021-03-25;126063
2021-03-24;90438
2021-03-23;104925
2021-03-22;139600
2021-03-21;13932
2021-03-20;91166
2021-03-19;193818
2021-03-18;78959
2021-03-17;80012
2021-03-16;82877
2021-03-15;131561
2021-03-14;9430
2021-03-13;29733
2021-03-12;55780
2021-03-11;56600
2021-03-10;60032
2021-03-09;69504
2021-03-08;74088
2021-03-07;12001
2021-03-06;49154
2021-03-05;79532
2021-03-04;106772
2021-03-03;130994
2021-03-02;99118
2021-03-01;112862
2021-02-28;14170
2021-02-27;49786
2021-02-26;22717
2021-02-25;24711
2021-02-24;27156
2021-02-23;34424
2021-02-22;37781
2021-02-21;6028
2021-02-20;16311
2021-02-19;43153
2021-02-18;50268
2021-02-17;52034
2021-02-16;53882
2021-02-15;68628
2021-02-14;7257
2021-02-13;30371
2021-02-12;107791
2021-02-11;94802
2021-02-10;81891
2021-02-09;111239
2021-02-08;102526
2021-02-07;14280
2021-02-06;44149
2021-02-05;90998
2021-02-04;80365
2021-02-03;70679
2021-02-02;58866
2021-02-01;56203
2021-01-31;6010
2021-01-30;22011
2021-01-29;55738
2021-01-28;70957
2021-01-27;38236
2021-01-26;44188
2021-01-25;21338
2021-01-24;6384
2021-01-23;16872
2021-01-22;51676
2021-01-21;32112
2021-01-20;14183
2021-01-19;7451
2021-01-18;877
2021-01-17;100
