data_registro;segunda_dose
2021-05-18;41237
2021-05-17;18332
2021-05-16;3333
2021-05-15;19119
2021-05-14;26733
2021-05-13;29009
2021-05-12;39040
2021-05-11;55611
2021-05-10;64165
2021-05-09;2807
2021-05-08;36647
2021-05-07;68863
2021-05-06;44828
2021-05-05;75307
2021-05-04;84835
2021-05-03;101146
2021-05-02;3735
2021-05-01;34702
2021-04-30;77914
2021-04-29;81460
2021-04-28;116349
2021-04-27;110896
2021-04-26;120623
2021-04-25;9123
2021-04-24;63787
2021-04-23;149346
2021-04-22;132800
2021-04-21;56094
2021-04-20;148235
2021-04-19;138319
2021-04-18;17475
2021-04-17;82483
2021-04-16;234112
2021-04-15;123855
2021-04-14;83076
2021-04-13;91643
2021-04-12;127849
2021-04-11;12567
2021-04-10;55344
2021-04-09;165734
2021-04-08;66802
2021-04-07;75843
2021-04-06;99807
2021-04-05;109753
2021-04-04;4472
2021-04-03;15206
2021-04-02;7246
2021-04-01;43258
2021-03-31;58929
2021-03-30;50709
2021-03-29;45852
2021-03-28;5668
2021-03-27;13952
2021-03-26;31934
2021-03-25;40153
2021-03-24;53728
2021-03-23;21417
2021-03-22;19070
2021-03-21;2488
2021-03-20;6436
2021-03-19;18386
2021-03-18;25474
2021-03-17;32340
2021-03-16;25595
2021-03-15;29376
2021-03-14;1803
2021-03-13;11750
2021-03-12;43351
2021-03-11;48144
2021-03-10;46952
2021-03-09;49876
2021-03-08;49801
2021-03-07;4718
2021-03-06;24920
2021-03-05;63196
2021-03-04;59873
2021-03-03;59954
2021-03-02;59441
2021-03-01;28099
2021-02-28;3340
2021-02-27;8546
2021-02-26;32332
2021-02-25;20845
2021-02-24;22661
2021-02-23;26243
2021-02-22;28850
2021-02-21;2163
2021-02-20;7475
2021-02-19;41002
2021-02-18;52890
2021-02-17;53846
2021-02-16;56290
2021-02-15;51966
2021-02-14;9367
2021-02-13;12455
2021-02-12;51106
2021-02-11;32603
2021-02-10;4370
2021-02-09;999
2021-02-08;378
2021-02-07;25
2021-02-06;65
2021-02-05;29
2021-02-04;16
2021-02-03;14
2021-02-02;6
2021-02-01;47
2021-01-31;0
2021-01-30;1
2021-01-29;7
2021-01-28;35
2021-01-27;3
2021-01-26;4
2021-01-25;3
2021-01-24;0
2021-01-23;5
2021-01-22;9
2021-01-21;1
2021-01-20;1
2021-01-19;0
2021-01-18;2
