datao;CasosAcumulados;CasosNovos;Mortes Acumuladas;MortesNovas;indice_isolamento_media;primeira_dose;segunda_dose
2021-02-09;3729954;26402;110174;848;0.39;111239;999
2021-02-10;3757604;27650;110838;664;0.38;81891;4370
2021-02-11;3779938;22334;111484;646;0.38;94802;32603
2021-02-12;3803148;23210;111942;458;0.37;107791;51106
2021-02-13;3822822;19674;112382;440;0.41;30371;12455
2021-02-14;3827196;4374;112532;150;0.48;7257;9367
2021-02-15;3831828;4632;112608;76;0.40;68628;51966
2021-02-16;3854820;22992;113404;796;0.40;53882;56290
2021-02-17;3877424;22604;113920;516;0.38;52034;53846
2021-02-18;3898918;21494;114480;560;0.38;50268;52890
2021-02-19;3921128;22210;114998;518;0.37;43153;41002
2021-02-20;3942846;21718;115486;488;0.40;16311;7475
2021-02-21;3951854;9008;115598;112;0.46;6028;2163
2021-02-22;3956954;5100;115684;86;0.38;37781;28850
2021-02-23;3981108;24154;116398;714;0.38;34424;26243
2021-02-24;4005280;24172;117056;658;0.40;27156;22661
2021-02-25;4029058;23778;117746;690;0.38;24711;20845
2021-02-26;4052250;23192;118258;512;0.37;22717;32332
2021-02-27;4074534;22284;118856;598;0.41;49786;8546
2021-02-28;4083256;8722;118986;130;0.47;14170;3340
2021-03-01;4089398;6142;119092;106;0.38;112862;28099
2021-03-02;4109734;20336;120028;936;0.38;99118;59441
2021-03-03;4137232;27498;120762;734;0.39;130994;59954
2021-03-04;4161704;24472;121388;626;0.39;106772;59873
2021-03-05;4187848;26144;122128;740;0.38;79532;63196
2021-03-06;4215374;27526;122834;706;0.44;49154;24920
2021-03-07;4227476;12102;122926;92;0.50;12001;4718
2021-03-08;4235924;8448;123168;242;0.41;74088;49801
2021-03-09;4268040;32116;124202;1034;0.41;69504;49876
2021-03-10;4299122;31082;125140;938;0.41;60032;46952
2021-03-11;4328132;29010;126020;880;0.41;56600;48144
2021-03-12;4359572;31440;127062;1042;0.40;55780;43351
2021-03-13;4390260;30688;127930;868;0.45;29733;11750
2021-03-14;4405966;15706;128246;316;0.49;9430;1803
2021-03-15;4416484;10518;128446;200;0.42;131561;29376
2021-03-16;4451852;35368;129804;1358;0.43;82877;25595
2021-03-17;4487736;35884;131038;1234;0.43;80012;32340
2021-03-18;4522720;34984;132356;1318;0.43;78959;25474
2021-03-19;4560066;37346;133596;1240;0.42;193818;18386
2021-03-20;4596122;36056;134828;1232;0.46;91166;6436
2021-03-21;4612652;16530;135116;288;0.51;13932;2488
2021-03-22;4622202;9550;135204;88;0.42;139600;19070
2021-03-23;4664086;41884;137246;2042;0.43;104925;21417
2021-03-24;4704876;40790;137808;562;0.42;90438;53728
2021-03-25;4741770;36894;139006;1198;0.42;126063;40153
2021-03-26;4784748;42978;141392;2386;0.42;214355;31934
2021-03-27;4820996;36248;143494;2102;0.45;103022;13952
2021-03-28;4840200;19204;143982;488;0.50;16870;5668
2021-03-29;4850640;10440;144566;584;0.44;160350;45852
2021-03-30;4893360;42720;146984;2418;0.44;113239;50709
2021-03-31;4939698;46338;149304;2320;0.43;84323;58929
2021-04-01;4992832;53134;151468;2164;0.43;91304;43258
2021-04-02;5026356;33524;153104;1636;0.47;49418;7246
2021-04-03;5040408;14052;153500;396;0.45;42133;15206
2021-04-04;5054800;14392;154040;540;0.50;5700;4472
2021-04-05;5064094;9294;154330;290;0.43;111101;109753
